506,353,1003,149,59,702,724,337,144,1425
13,852,489,132,1436,1898,840,499,261,227
183,146,1334,1289,414,1513,487,601,934,1912
726,707,1198,414,146,118,231,1226,321,1507
1173,156,220,1099,1125,300,713,487,262,347
995,1438,3,13,146,840,1410,406,43,261
168,414,231,1370,129,1125,251,1425,987,725
1003,1230,414,530,146,118,1096,308,261,700
407,1429,724,146,118,206,276,144,1208,1342
42,1194,1217,223,727,1013,1902,476,277,1325
415,1429,1416,263,685,250,1218,131,1087,1342
21,124,146,992,118,393,1119,985,258,1316
519,524,263,414,132,198,470,476,261,985
415,1429,1826,263,1892,1021,1119,258,277,84
242,144,489,181,840,1766,211,20,4,1173
415,124,242,149,724,436,1125,201,20,987
707,1115,706,146,749,58,206,1221,277,19
407,1536,1416,1349,215,250,146,308,1325,1524
1660,1194,146,1563,1013,222,1119,985,43,1643
183,724,168,1080,118,206,1766,717,48,19
415,3,1022,702,207,346,274,213,717,1587
1340,685,112,1099,422,393,289,1119,308,1108
512,19,30,685,1125,1845,155,48,1325,757
407,1211,726,146,414,118,201,129,308,1252
466,3,13,841,146,276,213,844,499,144
1280,707,301,530,1334,82,118,146,116,936
407,3,415,1289,127,379,201,213,1484,43
726,13,1214,414,146,713,997,1543,1285,144
716,1030,168,118,155,393,444,1820,406,1173
407,1316,168,270,215,132,198,1013,684,126
497,489,1230,346,1029,836,997,717,144,347
1470,1194,146,414,118,1,485,181,20,261
415,65,439,1129,1115,231,294,1208,476,1173
726,3,1511,1084,840,213,274,1119,43,261
1003,1289,146,207,118,35,840,717,1480,1119
281,489,513,724,132,212,470,713,1892,1173
726,42,489,1378,31,47,213,14,56,987
407,429,118,231,840,404,1223,476,1173,308
524,263,132,1120,250,1496,1404,997,840,131
726,1230,706,146,183,618,47,1892,998,1342
146,1334,321,709,1370,1175,213,1285,1119,1766
1280,1003,46,146,297,198,201,499,1173,261
156,1606,414,687,1013,1410,393,1145,308,1425
1003,13,162,660,47,201,717,308,262,1480
1416,215,132,231,470,1513,499,538,985,48
124,489,168,59,250,231,201,998,1173,999
146,1334,132,294,231,118,274,244,998,243
407,207,118,288,223,713,393,47,1119,17
1438,1194,65,1124,146,118,231,181,1994,47
407,65,1214,118,294,155,1766,20,692,1342
703,42,510,47,487,206,1087,308,84,862
995,469,112,1080,132,867,1170,1108,43,1342
726,1438,489,1194,685,223,118,1253,1021,985
65,146,294,1013,181,1507,274,244,258,985
726,42,377,168,1923,709,955,393,201,1173
3,116,724,1001,1892,289,1119,258,985,999
25,407,685,510,530,47,206,1425,308,19
407,3,146,223,1563,231,414,210,258,126
987,1003,1030,168,1826,1464,717,1220,1325,999
407,42,707,706,414,146,1007,318,93,955
726,1194,146,118,201,1766,1119,1794,308,258
42,3,1115,1230,65,407,466,724,274,262
42,1129,1003,65,500,155,840,1892,21,11
65,46,116,118,274,1175,144,1119,985,700
726,13,436,1513,499,1892,461,476,308,277
65,46,1289,146,1334,288,414,481,14,985
407,1129,995,414,223,709,1013,274,1333,1325
489,518,841,1214,155,1170,538,144,1325,1342
726,1194,1230,124,530,65,112,233,263,840
464,124,13,1230,1003,132,308,277,725,987
407,716,489,666,1117,997,1407,1388,308,476
466,65,489,1230,518,870,840,274,144,261
407,3,1115,168,518,132,1096,308,261,476
1194,65,49,146,1334,231,1013,1021,261,19
707,1028,1416,1368,231,129,47,997,261,17
407,1003,19,220,146,118,201,277,308,126
415,1536,379,533,132,840,1090,717,308,1342
407,1194,46,146,223,364,393,997,1119,258
1267,315,1278,1266,316,444,1892,144,528,1826
1870,1028,1416,49,201,1420,717,998,309,17
1030,263,169,1029,840,444,717,144,1826,1820
407,1194,414,118,393,840,421,47,258,56
379,724,250,321,231,201,213,274,701,261
25,524,1115,1470,146,337,489,709,47,528
202,506,1416,489,132,1029,60,1425,1173,299
407,3,65,49,146,220,404,206,20,319
726,1194,782,46,853,284,129,997,1543,144
415,407,707,277,146,992,1119,21,701,1342
995,1016,524,263,146,841,47,393,213,261
256,720,215,284,238,1881,47,48,712,692
716,25,168,112,132,155,1090,121,1425,1173
407,1003,168,146,132,1096,254,210,985,987
415,9,168,263,231,1096,1404,499,308,1325
1028,168,841,1029,1117,840,131,717,144,712
256,1194,726,65,250,132,1513,274,177,1316
726,701,1217,301,414,35,844,21,43,20
242,1243,520,112,1416,955,487,997,277,1325
1129,414,118,231,1226,393,1087,144,11,261
1826,1030,168,1080,1103,1029,717,48,1173,1820
716,426,146,183,1509,321,47,1208,1902,999
685,146,118,105,1001,231,499,985,1329,261
726,44,168,724,155,485,251,717,1173,725
42,1194,119,118,1242,1293,1610,1119,1325,11
726,112,66,468,231,1370,840,47,1892,299
407,3,13,9,146,183,841,709,840,985
407,277,706,146,414,321,840,985,261,17
