1028,1029,717
1031,717,144
1892,121,1826
1029,476,1173
1029,1892,717
1825,444,717
168,132,144
220,1029,48
1030,1029,717
717,1870,126
13,178,81
648,263,1898
1028,1030,717
497,840,144
1536,476,308
1030,1727,1828
13,440,1865
444,1087,717
717,144,48
446,1029,717
852,144,48
497,836,840
726,277,84
1865,1951,800
1030,717,476
1030,1029,1820
726,713,717
489,132,717
168,717,1173
1029,1754,717
1030,1029,1892
1030,717,1826
250,1029,717
497,840,717
1513,717,1425
1029,48,1826
1794,717,844
1194,717,20
841,840,717
1030,444,717
1028,1029,717
1028,1029,717
1028,1029,717
1029,487,717
1030,1029,717
717,1820,1893
1029,717,144
1028,1029,48
254,1820,1119
1030,717,1173
1825,1029,717
146,132,118
497,270,840
852,129,717
1030,1029,717
1029,717,144
1028,446,48
1029,717,144
1030,717,1173
446,1030,717
2001,1029,717
1030,1029,717
112,1845,1892
446,1914,1820
1030,1029,717
1030,1029,717
1030,717,144
1030,1031,717
1030,1029,717
1029,717,1820
1230,155,717
168,132,144
841,717,1173
1003,1230,724
1030,1029,717
89,261,81
1030,1029,717
1028,1029,717
1240,47,17
263,250,300
131,717,144
489,841,717
1030,444,1826
1030,1029,717
201,308,987
1029,1117,717
1030,1029,717
1030,1031,1826
1030,1820,1826
1030,1029,717
1030,1029,717
1513,487,985
132,717,48
1030,852,436
1030,1892,444
162,709,703
1028,1029,48
47,692,81
1028,1029,717
146,844,81
446,1030,1820
497,841,717
13,840,131
1029,198,48
1003,724,1087
742,378,154
13,168,713
446,1029,717
489,1230,262
9,485,261
118,144,725
1028,1030,1029
1030,1820,1826
263,841,1029
1030,1031,717
42,1028,13
1030,724,1096
132,1425,308
1030,840,717
57,862,863
1030,1029,144
65,1766,289
1030,1029,717
497,129,840
1416,1029,211
407,213,717
1819,717,48
2002,1897,717
1820,1826,1908
1030,168,717
1030,717,48
1028,1029,48
168,250,840
1029,717,1820
594,1754,1087
1028,1030,717
1536,270,132
263,118,1826
1030,1029,717
489,717,1329
1028,1029,717
1028,1029,717
440,1317,277
446,444,1826
1030,1029,717
497,840,717
1030,1029,717
393,213,11
489,168,717
1030,1029,717
1030,1029,717
183,1117,277
42,1513,499
1728,717,1893
1028,717,144
489,1173,692
293,118,1132
1030,841,1029
146,1647,987
263,444,1087
717,1820,1826
1028,263,1029
9,840,131
1029,717,1826
76,56,987
1030,168,131
1030,1029,717
1028,1029,717
263,840,717
841,250,1842
1028,168,717
1028,1030,1029
1028,446,1029
446,146,717
1029,717,1820
13,231,389
146,1892,717
1030,1884,717
1028,168,1029
144,987,986
1030,1029,717
1030,1029,1820
1028,1029,717
198,717,144
1030,841,144
499,48,144
995,1007,261
497,841,308
250,132,48
446,1030,1029
13,9,436
440,1951,717
497,1030,144
848,2002,717
250,840,144
1030,1029,717
241,84,692
1028,1029,717
1885,724,201
407,3,49
48,1820,1826
215,250,131
497,1030,717
1211,717,985
1030,263,717
1030,1029,717
1030,1029,717
1028,263,1820
1029,444,48
1028,1029,717
500,1951,717
1028,1029,717
1028,1029,717
1030,1727,263
1028,1029,1820
1030,1029,717
1028,168,717
489,836,717
155,1826,1908
1028,168,1029
1030,1029,717
168,717,1525
1029,131,717
1028,446,1029
34,639,1192
848,183,47
1030,1029,717
1030,1029,717
1028,1029,717
1029,1892,717
1030,1029,144
1029,1031,1892
1030,1820,1826
1028,497,840
263,132,840
1030,1029,717
1003,1815,20
1030,1029,1826
415,1214,84
1028,1029,717
170,717,144
1030,263,717
1003,168,717
13,146,47
1030,840,717
1727,1029,717
1028,1029,1826
1029,131,717
1030,1029,717
42,144,1826
1030,1029,717
256,1028,442
168,841,836
840,717,1826
1029,840,144
717,1425,1525
1028,263,198
168,717,144
256,1028,717
1030,1029,717
1029,1819,1820
848,13,1951
284,840,717
1028,1029,717
466,1230,1368
112,89,999
263,840,717
1029,717,144
446,1030,1029
1030,263,717
1030,1029,1820
836,476,725
1993,1727,717
1028,1029,717
1030,717,1826
81,132,126
1030,1029,717
1993,1030,1031
1028,1029,717
1087,448,462
1230,724,1173
724,201,144
497,1173,692
846,997,17
105,840,204
1003,717,1173
1030,1029,717
1030,1029,717
1028,1029,717
263,841,840
13,183,717
1028,1029,717
724,1029,144
1030,1029,717
156,1030,499
506,1324,1096
1030,1029,717
1029,1820,1826
168,717,1173
