808,113,551,1511
1820,1118,908,1081
48,212,365,1327
841,761,228,121
1031,125,838,1377
1000,811,637,1110
48,1965,835,1109
263,366,1203,635
954,1203,769,253
840,1086,507,1008
42,1655,1824,1107
393,751,1291,453
1892,884,8,1895
48,486,1171,1292
407,719,445,1617
1174,588,1607,1587
497,1258,1526,1082
131,133,614,857
226,1488,276,967
1028,1863,101,1159
235,1260,1936,1319
13,573,1403,1401
48,1098,459,1362
48,128,1000,1061
1826,662,1331,940
178,185,166,138
1751,381,1859,1435
840,666,1116,18
1728,21,337,1868
1820,1698,438,1975
836,334,1270,1704
1820,744,1337,360
725,686,1217,1804
506,687,439,975
499,1243,1910,61
444,1477,1731,36
1420,1663,52,1603
840,1989,1363,1903
1420,1,1663,1403
131,92,208,1292
263,921,1367,1157
1826,941,457,914
841,1655,1504,402
1820,1128,1517,651
1080,1614,600,1455
1820,1763,1447,269
256,1837,1586,1133
284,1923,652,1961
37,912,1118,131
162,1470,1697,378
840,911,610,740
88,1126,337,469
59,27,1985,339
48,79,1051,891
250,110,1757,22
1119,1363,469,380
60,1495,275,1732
440,942,1084,1915
1885,681,777,1988
38,1775,459,602
48,720,1950,1331
1825,1842,541,1866
1851,162,636,375
841,1749,874,150
10,1714,818,1498
1862,1770,352,167
393,1787,820,552
692,1219,1534,1441
840,372,1281,1859
48,399,1642,298
1087,942,73,83
436,956,62,1566
1028,933,1700,581
622,1662,1541,1113
263,339,1430,1133
2002,1339,1673,962
1028,1851,789,366
131,929,793,1267
1252,172,732,693
444,1395,1193,574
446,1270,1933,943
1513,455,1829,773
501,15,177,696
444,1366,1480,341
841,1285,1290,962
1826,1880,1300,750
415,60,1936,1479
405,1523,435,33
1819,812,27,515
198,1138,1116,672
127,784,380,1018
489,990,31,1734
263,952,939,1021
1951,404,1288,1183
1342,209,707,249
444,84,1371,517
1013,1754,925,1889
1820,1460,302,822
1728,743,794,165
1820,248,408,1706
131,420,1761,374
1826,627,715,1915
1334,1084,1379,602
1820,1172,644,312
1425,893,970,1267
250,1869,870,1876
263,1910,1707,1300
10,208,401,31
48,1672,957,1737
300,1465,1931,1161
1028,1612,1556,283
144,669,910,830
497,1344,1358,1407
131,1651,1913,152
503,233,1355,1069
707,332,1940,854
499,1656,1628,778
254,753,208,1686
1908,454,545,245
1820,217,555,1974
692,1212,1064,502
168,1036,909,557
1125,1537,276,1878
1820,606,204,525
1865,884,1512,25
1827,1375,1931,209
848,581,1644,1560
1368,1498,1273,645
1031,197,400,1018
1031,1278,35,608
1825,413,1868,1321
60,1105,1290,1457
487,1556,283,943
1728,230,324,235
1031,1286,1610,117
168,1178,473,161
840,697,531,965
483,1439,436,1251
112,1683,759,1034
48,564,1582,389
1427,614,175,647
47,1693,1982,767
233,918,1981,849
535,218,1155,1441
48,812,219,1578
183,734,382,1766
444,1375,438,1529
1252,227,89,582
485,1148,863,68
131,621,1912,435
1820,365,1121,924
48,484,882,711
1817,1739,492,62
215,1395,1213,1126
503,64,1403,1412
48,1937,1749,820
1774,108,707,702
1028,1928,1556,1561
1119,1930,1763,1767
997,756,575,1333
126,1973,234,1723
308,854,1321,267
282,991,1434,1065
467,1722,1620,34
446,1449,647,321
1820,1331,567,341
1857,1140,492,1931
497,1198,805,739
1080,1167,1748,93
809,1920,1433,1325
198,204,1295,1938
1525,596,125,481
10,408,982,306
1846,326,322,446
256,1414,714,1883
1031,386,1215,448
48,1586,1094,984
485,1676,1973,1263
1820,466,1805,1034
398,1009,186,1808
11,715,306,1922
282,1170,319,648
1827,897,334,1059
131,212,1397,575
489,1537,159,381
201,1844,1048,797
1820,143,1133,242
1028,961,1909,781
48,1221,513,640
263,816,1052,1304
1028,2,1455,882
294,370,1647,650
1125,1145,314,256
1080,1138,1246,423
48,1761,694,1870
1230,1209,280,864
1826,1210,1206,682
105,1990,26,746
2001,470,1433,251
444,896,1634,1035
1028,1639,741,1777
1334,719,1515,252
1420,658,878,686
1794,271,1109,445
1028,1533,795,943
76,1666,1326,1438
1826,723,1515,1192
131,904,1798,367
219,1744,273,1645
805,1587,1544,890
1725,1252,1816,1767
215,1481,1424,773
1028,117,1637,326
726,719,529,728
11,1865,813,950
198,1174,115,1715
1028,1160,876,748
1820,908,1694,1815
982,908,1676,1895
1825,927,1357,747
501,628,1745,995
1820,1372,1594,1100
1820,1107,530,1744
446,1431,1146,797
1826,1740,279,1632
1028,1017,813,945
997,979,86,133
1826,1706,1514,863
1267,240,768,368
4,375,1073,753
1794,1365,371,1629
1908,1710,1732,296
535,1092,759,737
1028,1672,2,1371
1893,530,135,894
20,875,160,822
1727,1544,257,1527
191,1388,1098,1748
13,1327,1483,796
1028,759,906,731
42,196,385,1397
54,1940,90,280
1825,1170,1522,567
25,989,1004,1527
1125,320,894,1765
724,659,1836,1806
436,689,1430,1308
444,517,954,553
1316,940,1876,1863
263,1310,342,784
489,1623,649,1305
848,621,120,1231
497,886,1118,859
444,586,937,628
1173,167,972,817
439,469,1560,1175
1842,1730,1168,1294
25,1785,767,1749
844,984,1869,1023
263,386,633,151
1368,340,1337,1587
263,52,1750,1084
713,335,1451,603
48,1355,125,169
466,1990,1790,705
1028,480,1674,1548
444,122,1290,915
1820,1662,1327,1086
470,1221,1437,825
1173,469,94,1456
1897,1441,1432,1915
144,416,890,1369
213,411,1284,1886
270,1105,923,70
1416,53,1262,1581
201,93,1309,1851
168,190,577,830
466,1794,1678,1406
48,550,135,776
310,773,792,1402
48,1987,1091,1765
188,1346,1584,1877
1865,905,375,1958
1826,1321,1095,864
1908,422,1847,1971
1857,1701,1524,1139
81,1406,313,929
485,1210,1024,431
499,1574,218,79
501,1980,221,1516
25,1542,1928,1189
444,1225,1352,553
844,1502,1736,244
1908,1542,104,886
42,884,386,827
1028,1351,788,1780
243,816,287,1142
703,854,898,1790
800,177,1072,1255
1884,1709,547,953
220,1779,1512,1476
1897,1117,1428,601
841,908,731,1745
1028,1829,360,1505
726,1851,309,1033
129,1478,34,1946
1826,948,602,57
1536,872,1968,846
489,83,557,1805
1003,496,1370,1750
393,36,531,927
106,158,1947,1791
444,1922,1364,1670
461,460,1338,1918
1028,1591,1179,1254
149,794,1333,1965
1702,840,1567,1463
1851,1600,596,1980
1119,1107,340,1217
20,107,1553,1019
1028,1622,1487,1880
1820,1055,396,1584
1028,365,1484,1566
1334,1509,1,269
1825,738,1152,784
487,1394,1684,893
1820,1546,1815,0
1028,1221,1538,1437
809,1135,354,1561
1826,1958,1236,1345
848,525,1497,1341
56,878,975,1824
1316,1349,791,974
214,1260,1332,1138
841,1657,67,1752
144,686,54,1938
725,794,178,1539
281,199,208,376
281,760,868,1689
1820,1039,1281,1532
168,1392,1258,54
446,886,1269,1569
48,22,1005,1033
684,1679,167,1084
1897,899,1847,1403
1173,624,739,940
1028,784,1930,1455
444,267,976,76
1031,1581,1260,871
1525,7,1883,314
169,1661,1505,1625
1031,1307,283,1112
131,1110,556,1529
487,1520,408,1177
840,1895,1535,783
444,1422,1875,781
250,196,1042,1243
842,1818,359,460
999,418,1883,787
270,1209,786,362
1892,1971,1150,1255
144,340,167,616
840,1254,136,1633
16,508,945,1852
497,202,1337,1689
168,1535,833,611
1820,1100,1233,595
76,701,1009,164
308,1745,912,921
1820,268,368,478
485,1287,1810,835
1820,869,1684,1404
1028,730,1127,647
518,251,1700,1658
1951,1182,6,1279
533,1419,1514,612
446,1978,1361,1778
1728,104,802,1348
113,1275,272,1187
56,1151,797,391
1596,486,1770,1205
444,1489,413,691
1076,1107,826,1283
59,106,448,618
155,1643,1146,1024
1863,787,81,12
446,1492,1955,1319
831,1196,917,961
1031,1231,2000,622
1173,317,1401,914
1103,1687,1965,337
1028,1846,566,340
444,1886,628,633
685,1498,1723,102
444,1818,79,458
406,912,1149,770
1781,767,49,125
1885,1089,1386,203
840,1524,28,68
168,1203,963,809
308,1270,1601,1362
1252,600,1483,469
1820,619,1252,794
48,986,1768,1371
446,357,289,1878
48,827,917,269
263,1732,1323,1121
17,327,816,291
1028,1713,1683,767
1892,301,1134,1480
1127,414,1635,433
