848,1728,444,467,1826
1030,1029,48,1820,1826
1028,168,263,1029,717
707,1115,489,118,261
407,726,840,985,17
263,1029,840,131,717
168,146,231,1087,308
1030,1825,1029,444,1826
1030,1029,1728,1031,717
687,233,487,717,277
250,231,836,213,1173
1028,1825,1029,1826,1908
1029,1820,48,1826,1908
1230,489,132,201,690
1030,1029,1031,717,144
263,841,168,717,144
1028,284,1029,48,1826
407,3,213,997,717
497,1030,1029,840,131
992,233,1170,861,985
501,840,844,717,144
726,168,840,836,35
1194,1218,391,231,1333
848,13,840,717,476
1028,1030,1029,717,48
13,132,840,499,476
1143,337,321,316,322
263,1029,840,717,144
1030,1029,1754,717,144
1028,1030,444,1820,1826
240,414,118,1221,11
201,1096,487,717,1173
407,112,146,321,43
1030,13,146,1029,47
1030,1728,840,717,144
1129,1,393,213,261
30,286,994,1513,213
118,997,717,144,17
497,1416,503,211,56
446,1030,1727,1029,717
489,132,155,717,476
1028,284,1029,48,1826
1030,183,13,1728,717
228,287,107,177,99
1416,346,233,121,461
1028,1416,1029,717,1173
1028,1030,1029,717,1826
1029,1820,717,1826,48
1803,567,88,1915,277
1028,1030,168,840,1754
149,1892,476,1425,711
1028,1030,1029,840,717
263,444,37,1826,692
497,13,241,840,844
1028,1030,1029,717,144
497,1029,840,444,1826
446,168,215,250,1029
1028,263,250,997,48
263,841,717,144,1820
848,183,836,840,717
1028,841,1775,717,144
25,1230,149,93,1096
9,1161,836,213,99
1230,168,1080,1173,81
42,59,146,132,231
1028,1030,1029,1820,1826
1511,112,1119,1127,84
42,65,274,997,985
489,168,183,201,1173
1030,1825,840,444,144
497,132,840,251,308
1030,168,1029,717,1820
263,841,530,1125,17
1029,47,48,1822,1826
622,1030,168,713,717
1416,1029,840,1096,1173
1908,1069,1820,1826,1900
1230,724,444,308,1173
1030,1029,840,131,717
1030,717,48,1826,1820
46,118,840,131,19
263,841,836,840,717
201,300,501,261,1173
1438,388,1124,146,20
848,489,1030,1029,144
1003,59,168,149,1368
713,978,131,717,21
446,1029,1820,48,1826
497,1030,1029,840,1826
1030,132,1029,1087,717
500,840,131,144,48
1803,1474,1002,682,571
497,263,841,840,144
726,155,713,499,48
1028,1030,168,1029,717
726,250,198,1513,840
1029,201,48,1820,1826
25,1030,149,717,476
1858,13,183,201,144
995,65,146,1013,261
1030,178,831,1728,717
263,131,144,48,308
1030,1029,717,48,1826
848,3,852,1230,717
1803,566,1915,1572,1913
726,489,168,47,844
497,1230,840,717,1173
168,47,713,717,144
497,852,263,132,717
407,47,213,844,1119
188,724,1029,201,717
1129,1124,992,955,277
1028,168,1029,717,144
1030,1029,444,717,1826
1003,1030,724,444,144
446,263,1029,444,717
1028,1029,717,48,1826
22,47,452,277,17
1029,1897,717,1820,1826
1030,1029,717,1826,692
1028,263,168,444,717
1803,1474,566,1233,1572
183,1029,994,1370,717
446,1030,840,444,144
446,1892,444,717,1908
1028,146,1029,47,1908
1826,1029,709,1817,1252
1028,1029,717,48,144
1030,1029,717,1820,1826
108,1355,1511,32,0
241,76,132,470,1892
1028,1029,717,48,1826
497,263,840,48,144
168,132,717,48,144
146,414,210,985,309
1030,1029,1728,1892,717
156,168,1080,836,48
1030,146,1029,1728,717
65,146,4,210,416
1030,1727,1029,1754,717
1028,1029,1754,144,48
65,146,763,288,43
183,146,436,47,717
1825,1029,717,144,1820
407,30,168,308,999
446,1030,1029,444,1826
1028,1030,263,1826,1908
1028,263,1029,717,144
1885,168,1087,717,144
1030,1728,840,717,1173
261,1029,717,725,1826
407,3,146,414,181
263,1029,1892,499,717
168,146,846,717,1173
1003,59,79,168,1173
1030,1029,840,717,144
1825,1030,1896,1031,444
183,426,1951,47,308
726,13,168,717,48
42,1028,436,1087,1826
1900,17,13,717,1252
1030,717,144,1820,1908
489,1030,1029,1117,1513
1030,1914,1029,1031,717
1028,1030,1029,717,48
1030,514,831,1754,717
