467,1815,999,598,1345
48,89,1229,1189,1845
263,1495,1362,1010,688
707,1139,1732,1742,182
985,873,1823,1233,1267
131,733,102,1724,1520
1087,526,626,1150,1487
1825,1986,124,701,1137
1031,859,454,1389,1598
687,1233,1555,536,682
836,425,1317,498,377
1908,418,1904,686,670
1908,810,893,1595,272
690,1242,1960,1442,549
1031,1189,721,1843,517
841,695,973,1216,50
284,394,639,815,462
997,880,1911,1886,684
497,505,600,1417,1564
1170,729,528,298,772
501,1502,1600,583,1423
35,1400,1628,1152,1153
1333,410,1447,246,1402
848,297,1132,887,61
48,1961,382,1400,434
499,1221,468,1655,730
1143,250,1385,157,541
263,1131,1014,651,1522
1754,1446,1,1495,465
444,1524,744,1841,416
240,529,1536,694,1550
487,594,61,1380,1356
321,1783,248,420,1717
146,1792,1965,1375,384
1728,1209,512,500,143
1,851,1035,413,1007
286,1651,1327,31,1894
17,1142,1459,217,1195
503,222,1148,1502,581
1727,191,836,1615,300
155,411,1713,974,315
284,236,1726,1322,173
183,816,614,546,1982
107,2000,1787,794,370
346,1081,568,1645,1504
1416,404,1614,285,154
1826,1121,1612,1882,1629
48,178,1925,962,1249
567,1856,379,408,847
1754,56,155,982,774
711,1103,1809,864,1789
840,1514,784,492,1975
37,113,1966,1934,778
241,1051,1234,1717,292
144,175,1913,1199,1274
497,1226,225,735,1486
215,1601,683,913,235
997,1921,367,247,1539
841,1594,1601,384,665
848,998,24,1676,1550
1775,1038,1019,1222,1101
93,1902,70,340,1034
1161,1766,102,782,855
81,1616,1256,583,263
59,686,460,917,299
1820,635,675,1043,224
1127,237,1482,1804,1568
274,792,1655,1876,1952
201,1999,1722,1713,812
1825,1572,531,1214,428
251,471,219,542,1297
1820,1584,1802,982,1132
530,1596,1742,621,76
1822,472,1309,881,441
622,1611,1974,560,1339
1096,240,554,954,1035
1069,1507,1406,966,851
724,1587,1183,1791,114
131,1681,305,560,1350
48,327,280,795,781
46,1927,238,221,253
836,1035,870,1714,1150
501,1889,437,1125,275
388,164,1347,1328,1656
848,1611,1734,1665,864
1368,780,349,970,1586
978,1988,815,297,258
446,1483,909,519,942
497,1154,791,1091,469
1087,1298,134,1267,1325
500,110,78,1945,778
571,335,1872,1007,257
497,1657,999,1306,1915
713,599,359,380,536
168,588,1998,745,71
198,747,1321,1712,1005
201,1060,1901,645,334
25,1284,1974,437,767
1858,623,630,203,340
995,579,774,828,1498
831,1750,367,1127,1660
308,58,1812,1992,1553
48,1353,1487,1082,957
852,108,60,1292,684
1913,541,1864,205,35
844,656,617,1343,378
1230,1790,4,885,55
713,1879,1516,1011,1201
852,1911,774,8,1226
844,1116,757,8,1012
188,1977,1478,292,341
955,1829,1441,1397,1278
168,1132,867,944,549
444,1032,455,853,310
724,1039,1018,1613,1750
446,734,954,1514,644
48,1407,1903,917,1426
22,1299,1394,151,275
1897,1313,876,790,408
692,469,347,972,344
444,1251,1833,1506,1198
1474,1807,560,605,1806
994,972,1571,1873,1488
446,1944,1792,581,1170
1908,1681,1397,187,1244
1908,1571,969,958,1562
709,43,90,1583,1038
48,423,1794,208,1305
1820,1455,1441,1319,1260
108,1628,1238,515,31
241,1890,742,1683,324
48,945,494,838,1022
497,1925,1541,1694,1810
132,243,783,581,1501
309,382,1951,74,774
1728,1495,1227,1035,808
156,673,809,230,384
1728,14,659,280,1111
416,376,192,851,1375
1754,898,180,871,590
1754,1525,1018,1886,1885
763,563,838,196,111
436,158,232,1020,1517
1825,664,557,687,1576
999,1911,549,1916,1439
446,1130,283,448,84
1908,801,1603,1717,1547
263,1870,291,1987,1620
1885,542,1285,1055,15
1728,209,991,1348,1763
261,265,1958,1822,1934
181,1591,663,1538,1920
499,1662,1538,1232,816
846,546,1886,1429,1646
79,1305,1634,1378,7
840,479,484,332,1461
1896,957,208,1896,1849
426,488,1142,196,1814
726,1545,1551,98,560
436,594,1207,259,1228
1900,54,295,156,1080
1908,1761,847,398,100
1117,1538,1508,1712,152
1914,1204,1553,770,269
48,1279,1462,1283,539
